treat1,treat2,within_study_bias,across_study_bias,indirectness,imprecision,heterogeneity,incoherence,overall_certainty
BortRCHOP,DA_EPOCH_R,NA,NA,NA,NA,NA,NA,NA
BortRCHOP,GCHOP,NA,NA,NA,NA,NA,NA,NA
DA_EPOCH_R,GCHOP,NA,NA,NA,NA,NA,NA,NA
BortRCHOP,IbrutRCHOP,NA,NA,NA,NA,NA,NA,NA
DA_EPOCH_R,IbrutRCHOP,NA,NA,NA,NA,NA,NA,NA
GCHOP,IbrutRCHOP,NA,NA,NA,NA,NA,NA,NA
BortRCHOP,LenaRCHOP,NA,NA,NA,NA,NA,NA,NA
DA_EPOCH_R,LenaRCHOP,NA,NA,NA,NA,NA,NA,NA
GCHOP,LenaRCHOP,NA,NA,NA,NA,NA,NA,NA
IbrutRCHOP,LenaRCHOP,NA,NA,NA,NA,NA,NA,NA
BortRCHOP,PolaRCHP,NA,NA,NA,NA,NA,NA,NA
DA_EPOCH_R,PolaRCHP,NA,NA,NA,NA,NA,NA,NA
GCHOP,PolaRCHP,NA,NA,NA,NA,NA,NA,NA
IbrutRCHOP,PolaRCHP,NA,NA,NA,NA,NA,NA,NA
LenaRCHOP,PolaRCHP,NA,NA,NA,NA,NA,NA,NA
BortRCHOP,RCHOP,NA,NA,NA,NA,NA,NA,NA
DA_EPOCH_R,RCHOP,NA,NA,NA,NA,NA,NA,NA
GCHOP,RCHOP,NA,NA,NA,NA,NA,NA,NA
IbrutRCHOP,RCHOP,NA,NA,NA,NA,NA,NA,NA
LenaRCHOP,RCHOP,NA,NA,NA,NA,NA,NA,NA
PolaRCHP,RCHOP,NA,NA,NA,NA,NA,NA,NA
